date,demand
2018-05-07,68811
2018-05-08,71674
2018-05-09,73201
2018-05-10,72635
2018-05-11,70527
2018-05-12,64399
2018-05-13,61349
2018-05-14,70438
2018-05-15,72612
2018-05-16,74589
2018-05-17,76840
2018-05-18,77813
2018-05-19,67664
2018-05-20,59539
2018-05-21,69983
2018-05-22,72726
2018-05-23,72079
2018-05-24,73791
2018-05-25,74426
2018-05-26,66042
2018-05-27,62664
2018-05-28,72441
2018-05-29,75638
2018-05-30,74721
2018-05-31,72459
2018-06-01,72876
2018-06-02,67353
2018-06-03,64241
2018-06-04,75647
2018-06-05,77811
2018-06-06,75696
2018-06-07,76994
2018-06-08,78591
2018-06-09,74778
2018-06-10,64908
2018-06-11,72911
2018-06-12,75600
2018-06-13,75517
2018-06-14,74345
2018-06-15,73129
2018-06-16,65666
2018-06-17,61079
2018-06-18,72116
2018-06-19,76223
2018-06-20,75671
2018-06-21,75567
2018-06-22,77565
2018-06-23,68542
2018-06-24,64926
2018-06-25,81581
2018-06-26,83887
2018-06-27,87623
2018-06-28,89018
2018-06-29,91522
2018-06-30,85628
2018-07-01,80473
2018-07-02,94539
2018-07-03,95409
2018-07-04,91734
2018-07-05,88895
2018-07-06,81470
2018-07-07,75164
2018-07-08,76011
2018-07-09,91179
2018-07-10,95351
2018-07-11,97041
2018-07-12,91642
2018-07-13,97110
2018-07-14,91621
2018-07-15,87383
2018-07-16,93374
2018-07-17,103315
2018-07-18,106693
2018-07-19,105399
2018-07-20,104646
2018-07-21,96899
2018-07-22,94123
2018-07-23,107220
2018-07-24,105890
2018-07-25,100877
2018-07-26,90318
2018-07-27,85587
2018-07-28,76814
2018-07-29,80754
2018-07-30,93767
2018-07-31,98834
2018-08-01,104247
2018-08-02,107653
2018-08-03,106708
2018-08-04,94789
2018-08-05,92993
2018-08-06,100589
2018-08-07,83199
2018-08-08,83073
2018-08-09,90771
2018-08-10,97309
2018-08-11,86470
2018-08-12,76980
2018-08-13,82104
2018-08-14,84364
2018-08-15,85442
2018-08-16,84618
2018-08-17,75818
2018-08-18,67673
2018-08-19,66187
2018-08-20,78290
2018-08-21,92518
2018-08-22,100221
2018-08-23,100633
2018-08-24,96985
2018-08-25,95131
2018-08-26,93626
2018-08-27,101439
2018-08-28,92946
2018-08-29,89713
2018-08-30,97132
2018-08-31,98748
2018-09-01,81402
2018-09-02,68878
2018-09-03,80565
2018-09-04,87884
2018-09-05,90813
2018-09-06,89434
2018-09-07,88801
2018-09-08,85087
2018-09-09,78761
2018-09-10,86580
2018-09-11,77452
2018-09-12,74358
2018-09-13,76631
2018-09-14,77317
2018-09-15,69767
2018-09-16,66441
2018-09-17,74870
2018-09-18,79966
2018-09-19,76723
2018-09-20,74972
2018-09-21,73366
2018-09-22,69299
2018-09-23,66298
2018-09-24,72696
2018-09-25,76736
2018-09-26,73270
2018-09-27,72439
2018-09-28,71488
2018-09-29,66735
2018-09-30,63858
2018-10-01,78116
2018-10-02,75031
2018-10-03,74127
2018-10-04,73760
2018-10-05,73817
2018-10-06,71549
2018-10-07,71781
2018-10-08,67221
2018-10-09,74851
2018-10-10,76351
2018-10-11,76883
2018-10-12,74325
2018-10-13,66169
2018-10-14,62085
2018-10-15,70689
2018-10-16,72389
2018-10-17,72198
2018-10-18,71803
2018-10-19,71904
2018-10-20,65994
2018-10-21,61717
2018-10-22,70032
2018-10-23,73125
2018-10-24,72596
